pathway	cells	BTO	treatment	effect	time	comment	GSE	norm	GPL
GSE1045a	Estrogen	MDA-MB-231 breast cancer cells	BTO:0000815	treated with estradiol	activating	1 h	2 replicates each, part of timeseries	GSE1045	none	GPL96
GSE1045b	Estrogen	MDA-MB-231 breast cancer cells	BTO:0000815	treated with estradiol	activating	2 h	2 replicates each, part of timeseries	GSE1045	none	GPL96
GSE11467	Estrogen	MCF-7 cells	BTO:0000093	treated with 10 nM estradiol	activating	2 h	3 replicates each	GSE11467	none	GPL96
GSE11567a	Estrogen	SKBR3 cells	BTO:0002419	treated with 1µM estradiol	activating	1 h	3 replicates each, control transfection	GSE11567	normalized	GPL6102
GSE11567b	Estrogen	SKBR3 cells	BTO:0002419	treated with 1o µM hydoxytamoxifen	unknown	1 h	3 replicates each, control transfection	GSE11567	normalized	GPL6102
GSE11791	Estrogen	MCF-7 cells	BTO:0000093	treated with 100 nM estradiol	activating	6 h	3 replicates each	GSE11791	none	GPL570
GSE12261	Estrogen	human smooth muscle cells	BTO:0001260	treated with 3 µM 2-methoxyestradiol	activating	4 h	3 replicates each	GSE12261	none	GPL570
GSE13458	Estrogen	MCF-7 cells	BTO:0000093	treated with estradiol	activating	3 h	3 replicates each, contain luciferase knockdown	GSE13458	log	GPL571
GSE13458a	Estrogen	MCF-7 cells	BTO:0000093	treated with estradiol	activating	3 h	3 replicates each, contain luciferase knockdown	GSE13458	log	GPL570
GSE15717	Estrogen	MCF-7 cells	BTO:0000093	treated with estradiol	activating	4 h	3 replicates each	GSE15717	none	GPL96
GSE18592	Estrogen	MCF-7 ER+ breast cancer cells	BTO:0000093	treated with estrogen	activating	1 h	3 replicates each	GSE18592	none	GPL6244
GSE20081	Estrogen	MCF-7 breast cancer cells	BTO:0000093	treated with estradiol	activating	6 h	3 replicates each, contain control siRNA	GSE20081	none	GPL570
GSE21618a	Estrogen	MCF-7 breast cancer cells	BTO:0000093	treated with estradiol	activating	1 h	3 replicates each, different treatments, part of timeseries	GSE21618	none	GPL10371
GSE21618b	Estrogen	MCF-7 breast cancer cells	BTO:0000093	treated with estradiol	activating	2 h	3 replicates each, different treatments, part of timeseries	GSE21618	none	GPL10371
GSE21618c	Estrogen	MCF-7 breast cancer cells	BTO:0000093	treated with estradiol	activating	3 h	3 replicates each, different treatments, part of timeseries	GSE21618	none	GPL10371
GSE21618d	Estrogen	MCF-7 breast cancer cells	BTO:0000093	treated with estradiol	activating	6 h	3 replicates each, different treatments, part of timeseries	GSE21618	none	GPL10371
GSE21618e	Estrogen	MCF-7 breast cancer cells	BTO:0000093	treated with tamoxifen	unknown	1 h	1 replicate each, different treatments, part of timeseries	GSE21618	none	GPL10371
GSE21618f	Estrogen	MCF-7 breast cancer cells	BTO:0000093	treated with tamoxifen	unknown	2 h	1 replicate each, different treatments, part of timeseries	GSE21618	none	GPL10371
GSE21618g	Estrogen	MCF-7 breast cancer cells	BTO:0000093	treated with tamoxifen	unknown	3 h	1 replicate each, different treatments, part of timeseries	GSE21618	none	GPL10371
GSE21618h	Estrogen	MCF-7 breast cancer cells	BTO:0000093	treated with tamoxifen	unknown	6 h	1 replicate each, different treatments, part of timeseries	GSE21618	none	GPL10371
GSE22012	Estrogen	MCF-7 breast cancer cells	BTO:0000093	treated with estradiol	activating	1 h	4 replicates each	GSE22012	log	GPL6480
GSE22593a	Estrogen	MDA-MB-231ER+ breast cancer cells	BTO:0000815	treated with estradiol	activating	1 h	2 replicates each, part of timeseries	GSE22593	log	GPL96
GSE22593b	Estrogen	MDA-MB-231ER+ breast cancer cells	BTO:0000815	treated with estradiol	activating	2 h	2 replicates each, part of timeseries	GSE22593	log	GPL96
GSE22593c	Estrogen	MDA-MB-231ER+ breast cancer cells	BTO:0000815	treated with estradiol	activating	4 h	2 replicates each, part of timeseries	GSE22593	log	GPL96
GSE23445	Estrogen	MCF-7 breast cancer cells	BTO:0000093	treated with estradiol	activating	4 h	3 replicates each	GSE23445	log	GPL6244
GSE23500	Estrogen	human normal breast cells	BTO:0000149	treated with estradiol	activating	6 h	3 replicates each	GSE23500	normalized	GPL6947
GSE23610	Estrogen	MCF-7 breast cancer cells	BTO:0000093	treated with 0.1µM estradiol	activating	6 h	3 replicates each	GSE23610	none	GPL570
GSE24592	Estrogen	MCF-7 breast cancer cells	BTO:0000093	treated with 10nM estradiol	activating	4 h	2-3 replicates each, contain control siRNA	GSE24592	none	GPL571
GSE25314a	Estrogen	MCF-7 breast cancer cells	BTO:0000093	treated with 100nM estrogen	activating	6 h	4 replicates each, different treatments	GSE25314	log	GPL6947
GSE25314b	Estrogen	MCF-7 breast cancer cells	BTO:0000093	treated with 1 µM tamoxifen	unknown	6 h	4 replicates each, different treatments	GSE25314	log	GPL6947
GSE25315	Estrogen	MCF-7 breast cancer cells	BTO:0000093	treated with 100nM estrogen	activating	6 h	3 replicates each, contain control siRNA	GSE25315	log	GPL10558
GSE26459a	Estrogen	MCF-7 estrogen sensitive breast cancer cells	BTO:0000093	treated with estrogen	activating	4 h	3 replicates each	GSE26459	none	GPL570
GSE26459b	Estrogen	MCF-7 estrogen resistant breast cancer cells	BTO:0000093	treated with estrogen	activating	4 h	3 replicates each	GSE26459	none	GPL570
GSE26834Est	Estrogen	MCF-7 breast cancer cells	BTO:0000093	treated with estradiol	activating	3 h	2-3 replicates each	GSE26834	log	GPL571
GSE28006	Estrogen	MCF-7 breast cancer cell line	BTO:0000093	treated with estradiol	activating	3 h	2 replicates each, contain siControl RNA	GSE28006	normalized	GPL10558
