ID	GSE	SUBSET	GSM	GPL	SOFT_NUMSPACE	AVAIL	FILE	PATHWAY	CELLS	EFFECT	TREATMENT	TIME	COMMENT
ARR00001	GSE22463	GSE22463k	GSM558029	GPL6244	log	raw	CELS/GSE22463/GSM558029.CEL	H2O2	PBMCs from >50 year old female	control	treated with H2O2	6 h	1 replicate each, time series, 8 older individuals
ARR00002	GSE22463	GSE22463k	GSM558045	GPL6244	log	raw	CELS/GSE22463/GSM558045.CEL	H2O2	PBMCs from >50 year old female	activating	treated with H2O2	6 h	1 replicate each, time series, 8 older individuals
ARR00003	GSE22463	GSE22463a	GSM558027	GPL6244	log	raw	CELS/GSE22463/GSM558027.CEL	H2O2	PBMCs from >50 year old female	control	treated with H2O2	3 h	1 replicate each, time series, 8 older individuals
ARR00004	GSE22463	GSE22463a	GSM558035	GPL6244	log	raw	CELS/GSE22463/GSM558035.CEL	H2O2	PBMCs from >50 year old female	activating	treated with H2O2	3 h	1 replicate each, time series, 8 older individuals
ARR00005	GSE22463	GSE22463e	GSM558031	GPL6244	log	raw	CELS/GSE22463/GSM558031.CEL	H2O2	PBMCs from >50 year old female	control	treated with H2O2	3 h	1 replicate each, time series, 8 older individuals
ARR00006	GSE22463	GSE22463e	GSM558039	GPL6244	log	raw	CELS/GSE22463/GSM558039.CEL	H2O2	PBMCs from >50 year old female	activating	treated with H2O2	3 h	1 replicate each, time series, 8 older individuals
ARR00007	GSE22463	GSE22463i	GSM558027	GPL6244	log	raw	CELS/GSE22463/GSM558027.CEL	H2O2	PBMCs from >50 year old female	control	treated with H2O2	6 h	1 replicate each, time series, 8 older individuals
ARR00008	GSE22463	GSE22463i	GSM558043	GPL6244	log	raw	CELS/GSE22463/GSM558043.CEL	H2O2	PBMCs from >50 year old female	activating	treated with H2O2	6 h	1 replicate each, time series, 8 older individuals
ARR00009	GSE22463	GSE22463o	GSM558033	GPL6244	log	raw	CELS/GSE22463/GSM558033.CEL	H2O2	PBMCs from >50 year old female	control	treated with H2O2	6 h	1 replicate each, time series, 8 older individuals
ARR00010	GSE22463	GSE22463o	GSM558049	GPL6244	log	raw	CELS/GSE22463/GSM558049.CEL	H2O2	PBMCs from >50 year old female	activating	treated with H2O2	6 h	1 replicate each, time series, 8 older individuals
ARR00011	GSE22463	GSE22463h	GSM558034	GPL6244	log	raw	CELS/GSE22463/GSM558034.CEL	H2O2	PBMCs from >50 year old female	control	treated with H2O2	3 h	1 replicate each, time series, 8 older individuals
