id	pathway	cells	BTO	treatment	effect	time	comment	GSE	norm	GPL
GSE1045a	Estrogen	breast	BTO:0000815	treated with estradiol	activating	1 h	2 replicates each, part of timeseries	GSE1045	none	GPL96
GSE1045b	Estrogen	breast	BTO:0000815	treated with estradiol	activating	2 h	2 replicates each, part of timeseries	GSE1045	none	GPL96
GSE11467	Estrogen	breast	BTO:0000093	treated with 10 nM estradiol	activating	2 h	3 replicates each	GSE11467	none	GPL96
GSE11567a	Estrogen	breast	BTO:0002419	treated with 1µM estradiol	activating	1 h	3 replicates each, control transfection	GSE11567	normalized	GPL6102
GSE11567b	Estrogen	breast	BTO:0002419	treated with 1o µM hydoxytamoxifen	unknown	1 h	3 replicates each, control transfection	GSE11567	normalized	GPL6102
GSE11791	Estrogen	breast	BTO:0000093	treated with 100 nM estradiol	activating	6 h	3 replicates each	GSE11791	none	GPL570
GSE12261	Estrogen	muscle	BTO:0001260	treated with 3 µM 2-methoxyestradiol	activating	4 h	3 replicates each	GSE12261	none	GPL570
GSE13458	Estrogen	breast	BTO:0000093	treated with estradiol	activating	3 h	3 replicates each, contain luciferase knockdown	GSE13458	log	GPL571
GSE13458a	Estrogen	breast	BTO:0000093	treated with estradiol	activating	3 h	3 replicates each, contain luciferase knockdown	GSE13458	log	GPL570
GSE15717	Estrogen	breast	BTO:0000093	treated with estradiol	activating	4 h	3 replicates each	GSE15717	none	GPL96
GSE18592	Estrogen	breast	BTO:0000093	treated with estrogen	activating	1 h	3 replicates each	GSE18592	none	GPL6244
GSE20081	Estrogen	breast	BTO:0000093	treated with estradiol	activating	6 h	3 replicates each, contain control siRNA	GSE20081	none	GPL570
GSE21618a	Estrogen	breast	BTO:0000093	treated with estradiol	activating	1 h	3 replicates each, different treatments, part of timeseries	GSE21618	none	GPL10371
GSE21618b	Estrogen	breast	BTO:0000093	treated with estradiol	activating	2 h	3 replicates each, different treatments, part of timeseries	GSE21618	none	GPL10371
GSE21618c	Estrogen	breast	BTO:0000093	treated with estradiol	activating	3 h	3 replicates each, different treatments, part of timeseries	GSE21618	none	GPL10371
GSE21618d	Estrogen	breast	BTO:0000093	treated with estradiol	activating	6 h	3 replicates each, different treatments, part of timeseries	GSE21618	none	GPL10371
GSE21618e	Estrogen	breast	BTO:0000093	treated with tamoxifen	unknown	1 h	1 replicate each, different treatments, part of timeseries	GSE21618	none	GPL10371
GSE21618f	Estrogen	breast	BTO:0000093	treated with tamoxifen	unknown	2 h	1 replicate each, different treatments, part of timeseries	GSE21618	none	GPL10371
GSE21618g	Estrogen	breast	BTO:0000093	treated with tamoxifen	unknown	3 h	1 replicate each, different treatments, part of timeseries	GSE21618	none	GPL10371
GSE21618h	Estrogen	breast	BTO:0000093	treated with tamoxifen	unknown	6 h	1 replicate each, different treatments, part of timeseries	GSE21618	none	GPL10371
GSE22012	Estrogen	breast	BTO:0000093	treated with estradiol	activating	1 h	4 replicates each	GSE22012	log	GPL6480
GSE22593a	Estrogen	breast	BTO:0000815	treated with estradiol	activating	1 h	2 replicates each, part of timeseries	GSE22593	log	GPL96
GSE22593b	Estrogen	breast	BTO:0000815	treated with estradiol	activating	2 h	2 replicates each, part of timeseries	GSE22593	log	GPL96
GSE22593c	Estrogen	breast	BTO:0000815	treated with estradiol	activating	4 h	2 replicates each, part of timeseries	GSE22593	log	GPL96
GSE23445	Estrogen	breast	BTO:0000093	treated with estradiol	activating	4 h	3 replicates each	GSE23445	log	GPL6244
GSE23500	Estrogen	breast	BTO:0000149	treated with estradiol	activating	6 h	3 replicates each	GSE23500	normalized	GPL6947
GSE23610	Estrogen	breast	BTO:0000093	treated with 0.1µM estradiol	activating	6 h	3 replicates each	GSE23610	none	GPL570
GSE24592	Estrogen	breast	BTO:0000093	treated with 10nM estradiol	activating	4 h	2-3 replicates each, contain control siRNA	GSE24592	none	GPL571
GSE25314a	Estrogen	breast	BTO:0000093	treated with 100nM estrogen	activating	6 h	4 replicates each, different treatments	GSE25314	log	GPL6947
GSE25314b	Estrogen	breast	BTO:0000093	treated with 1 µM tamoxifen	unknown	6 h	4 replicates each, different treatments	GSE25314	log	GPL6947
GSE25315	Estrogen	breast	BTO:0000093	treated with 100nM estrogen	activating	6 h	3 replicates each, contain control siRNA	GSE25315	log	GPL10558
GSE26459a	Estrogen	breast	BTO:0000093	treated with estrogen	activating	4 h	3 replicates each	GSE26459	none	GPL570
GSE26459b	Estrogen	breast	BTO:0000093	treated with estrogen	activating	4 h	3 replicates each	GSE26459	none	GPL570
GSE26834Est	Estrogen	breast	BTO:0000093	treated with estradiol	activating	3 h	2-3 replicates each	GSE26834	log	GPL571
GSE28006	Estrogen	breast	BTO:0000093	treated with estradiol	activating	3 h	2 replicates each, contain siControl RNA	GSE28006	normalized	GPL10558
GSE28645	Estrogen	breast	BTO:0000356	treated with tamoxifen	inhibiting	2 h	4 replicates each, contain control siRNA, tamoxifen acts as antagonist in breast cell lines	GSE28645	log	GPL570
GSE3013a	Estrogen	skin	BTO:0001422	treated with estradiol	activating	3 h	2 replicates each on different platforms, different treatments, different tumor stages	GSE3013	none	GPL91
GSE3013b	Estrogen	skin	BTO:0001422	treated with estradiol	activating	3 h	2 replicates each on different platforms, different treatments, different tumor stages	GSE3013	none	GPL8300
