ACIDOSIS,ACTIVATED ENDOTHELIUM,AKT,BETA CATENIN,BMYB,BRCA1,CMYB,E2 ACTIVATED (IE) / E2 REPRESSED CORR,E2F1,EGFR,ER,ESC HUMAN,FOS JUN,GATA3,GLUCOSE DEPLETION,GYCOLYSIS,HER1 C1,HER1 C2,HER1 C3,HER2,HER2 AMP,HYPOXIA,IFNA,IFNG,LACTIC ACIDOSIS,LKB1,MYC (DUKE),MYC (UNC),P53,P53 MUT/P53 WT CORR,P63,PI3K,PIK3CA,PR,PROLIFERATION,PROLIFERATION (PAM50),PTEN DEL /PTEN WT CORR,RAS,RB LOH,SRC,STAT1,STAT3,STEM CELL,STROMAL DOWN,STROMAL UP,TGFB,TNFA,VEGF/HYPOXIA,WOUND RESPONSE
ALDH1B1,ABCA2,ABAT,AGPAT5,RPL39L,ART3,NAT1,CHPT1,ABCG2,ACBD3,ACOT2,NPM1,GEM,KRT7,CALU,ENO1,ALDH1B1,BYSL,ACTL6A,ACADVL,PNMT,ADM,ANKFY1,APOL2,ALDOA,GPR115,AASDHPPT,ADM,AARSD1,CCND1,AKR7A2,ACLY,ACTG2,ABCD3,TUBA1B,BIRC5,ABLIM1,ANGPTL4,ARF1,CYP4F8,TAP1,ABCA1,ANK3,LGALS7B,C9orf47,ADRB1,ACSL3,ADM,ADH1A
ANGPTL4,BIRC2,ACLY,ATAD2,C11orf82,ATF3,NAT2,CD44,ACSL1,ADRB2,ANXA9,MYH10,NR4A1,LAD1,CARS,GAPDH,CAD,CCNE1,ANXA7,ACSF2,TCAP,AK4,APOL2,APOL6,ASMTL,LRRCC1,ABCC4,ADORA2B,ABCC8,CCNA2,BAG3,ACSL1,ALOX5AP,ACADSB,PTTG3P,CCNB1,ENPP3,APOBEC3F,ATP1B3,HNRNPA0,GBP1,ADM,BUB1,TIGD2,OLFML2A,ANGPTL4,ALCAM,FABP5,APOH
BCL6,APLP1,ACO1,BAG2,ASPM,ATF4,ABL2,USP30,AKR1B1,AHNAK,AR,CCNE1,ATF3,FXYD3,CLIC4,GPI,NKX2-5,TIMM8A,ARF1,ALAS1,PCGF2,AMIGO2,APOL6,ARNTL,BAK1,LIMCH1,ABCE1,AHCY,ACAD8,CDK1,CCNE2,AKR7A2,AMPH,ADCY9,CKAP5,CDC20,FKBP1B,APOBEC3G,ATP6V1C1,PPP1R15A,IFIH1,AGT,CCNB1,FAM83H,FAM180A,ARID3A,APOL2,PNP,BMPR1B
BTG1,ARL4D,AKR7A2,BARD1,RACGAP1,ATR,ACAT1,CEP250,AKR7A2,AHNAK2,C10orf116,ATP5G2,IER2,S100A11,DDIT4,PFKP,FARSA,SNRPD1,ATR,ATG2A,PIP4K2B,ANGPTL4,BTN3A1,ATP6V1C1,BRD7,SHROOM3,ABCF2,AK1,ACADVL,CDC25B,CYB5R3,AMD1,BLM,ALDOA,BUB1,CDCA1,GABARAP,ARHGAP25,BID,RAG1,PSMB9,AKAP12,CES1,PPAPDC2,TMEM130,BCOR,BIRC2,PLOD1,DST
CD200,BLM,AKT2,BTG3,CDKN2AIPNL,BPI,PLIN2,IRF4,ALOX12,AIM1,C14orf132,RAD23B,JUNB,TFF1,DNAJB9,PKM2,SERPINB8,LRP8,BID,BCL11A,CWC25,ANKRD36,BTN3A2,BATF3,C12orf10,SYCP2,ADA,ALDH1A1,ACBD4,CDC25C,DNAJB1,ANKRD46,BUB1,AR,DEPDC1,CEP55,CNN2,ARPC2,BLM,RPL27A,CXCL9,ANGPTL4,FGFR2,FAM83B,KCNIP1,C3orf52,BTN3A3,UCHL1,CAPN6
CD55,BPGM,ALDH7A1,C5orf30,TRIML2,CALB2,ADM,IFT74,ATAD2,AKAP13,CA12,COX4NB,JUN,TFF3,EPRS,,PPM1G,ECE2,CBFB,BDKRB2,PSMB3,ANKZF1,BTN3A3,BCL6,CBS,LGSN,ADSL,SLC25A5,ACLY,CDKN1A,DPYSL2,ARMC1,CA9,ARFGEF2,ERCC6L,KNTC2,TRIM4,ATG5,BUB1,RPL37A,IRF1,ARNTL2,GBX2,ALS2CL,EPSTI1,CFTR,C8orf4,VEGFA,CD86
CDKN1C,BRCA1,ATP5G3,CASP8AP2,OIP5,CD19,AGTR1,PSMA4,B4GALT6,AKAP13,CYB561,TEAD4,FOS,TFRC,GRB10,,SGTA,PTDSS1,CDR2,C10orf10,LASP1,ATG14,C19orf66,BTN3A1,CMPK1,ZNF165,AGPAT5,RND3,ALDH6A1,CDKN3,EBP,ATAD2,CCNB1,ARHGAP29,CDC7,MKI67,FLJ10241,BMP2,BUB1B,RPLP2,CXCL11,ATP5G2,HCFC1,NMNAT3,MDGA1,CHRNA4,CCL2,SLC16A3,CDK4
CFLAR,BUB1B,ATP6V0E2,CCNE1,KIF15,COL4A1,AIM1,E2F8,BRCC3,AMOTL2,DALRD3,CLDN4,DUSP1,C10orf116,HBP1,,UPP1,COX4NB,CTPS,C17orf63,STARD3,BHLHE40,C1orf38,BTN3A2,CRABP2,KLK10,AHCTF1,ATP5F1,ALG9,CENPF,FDFT1,ATP12A,CDKN3,ARL3,PDCD5,PTTG1,STK16,BNIP3L,CAPS,RPS11,CXCL10,BCL3,MKI67,EHD4,CREB3L2,COL6A1,CD47,NDRG1,COL17A1
CRIM1,OSGIN2,C14orf1,CCNE2,TOX2,E2F2,ALDH1A3,DHFRL1,C18orf25,ANKHD1,DCXR,RPS21,ZFP36,BACE2,HERPUD1,,TRIM25,WDR4,DHX15,C2orf54,GSDMB,BHLHE41,CASP1,BTN3A3,DNM1,LTBP1,AHCY,BAX,APBB1,CKS1B,G6PD,BARD1,CHN1,ASMTL,CEBPG,RRMS,MAF,BPGM,CCNA2,SRC,IDO1,BCL6,RNF2,SDR42E1,TRIML2,CRYBA4,CDV3,GAL,COX7B
